LinkId,NodeStartId,NodeEndId,TotLength,StartNodeX,StartNodeY,EndNodeX,EndNodeY
1,17,1,30773.49646,35.0122,-89.7091,35.0124,-89.8116
2,16,1,36434.41026,35.0124,-89.8116,35.0242,-89.9281
3,4,1,22537.89131,35.0124,-89.8116,35.0584,-89.8564
4,3,2,37132.87927,35.0082,-90.0098,35.0217,-90.1129
5,2,16,29868.60079,35.0242,-89.9281,35.0082,-90.0098
6,3,21,32597.76914,35.0217,-90.1129,35.0812,-90.1445
7,20,21,35696.39868,35.0812,-90.1445,35.063,-90.0316
8,18,16,11289.59826,35.0552,-89.9286,35.0242,-89.9281
9,19,18,18728.49254,35.0552,-89.9286,35.0642,-89.9822
10,18,4,21742.88128,35.0584,-89.8564,35.0552,-89.9286
11,4,26,63398.61278,35.0584,-89.8564,35.1243,-89.736
12,20,19,14822.24317,35.0642,-89.9822,35.063,-90.0316
13,23,19,16958.40194,35.0642,-89.9822,35.1083,-89.9871
14,20,2,21000.03497,35.063,-90.0316,35.0082,-90.0098
15,25,4,17755.74172,35.1009,-89.8626,35.0584,-89.8564
16,5,20,13023.87173,35.0986,-90.0281,35.063,-90.0316
17,5,23,14800.7354,35.1083,-89.9871,35.0986,-90.0281
18,23,6,18215.27062,35.1083,-89.9871,35.1149,-89.9336
19,6,18,22376.90131,35.1149,-89.9336,35.0552,-89.9286
20,6,25,22585.64307,35.1149,-89.9336,35.1009,-89.8626
21,27,6,27935.34686,35.1149,-89.9336,35.1281,-90.024
22,28,26,15538.54506,35.1243,-89.736,35.1327,-89.7857
23,30,26,15000.04216,35.1243,-89.736,35.1603,-89.7468
24,10,28,28032.92512,35.1327,-89.7857,35.204,-89.7693
25,5,27,10952.84108,35.1281,-90.024,35.0986,-90.0281
26,8,27,9220.497942,35.1281,-90.024,35.1529,-90.0182
27,31,6,14045.65217,35.1457,-89.9506,35.1149,-89.9336
28,9,31,31004.48525,35.1457,-89.9506,35.1827,-89.8608
29,11,31,38070.7918,35.1457,-89.9506,35.2422,-89.959
30,8,31,23739.48034,35.1529,-90.0182,35.1457,-89.9506
31,8,34,31111.81919,35.1529,-90.0182,35.2319,-89.9785
32,29,22,20227.93911,35.1557,-90.0342,35.1126,-90.0689
33,5,22,13922.56886,35.1126,-90.0689,35.0986,-90.0281
34,8,29,4989.942756,35.1557,-90.0342,35.1529,-90.0182
35,29,33,30213.48113,35.1557,-90.0342,35.2342,-90.0165
36,7,24,25670.04056,35.1771,-89.6536,35.1072,-89.6488
37,26,24,30235.15008,35.1072,-89.6488,35.1243,-89.736
38,30,7,34185.40745,35.1771,-89.6536,35.1603,-89.7468
39,7,32,15236.63976,35.1771,-89.6536,35.2074,-89.6578
40,9,25,40263.23634,35.1827,-89.8608,35.1009,-89.8626
41,9,28,29390.69,35.1827,-89.8608,35.1327,-89.7857
42,9,10,28420.55881,35.1827,-89.8608,35.204,-89.7693
43,9,35,17439.54808,35.1827,-89.8608,35.2268,-89.848
44,11,35,37228.21612,35.2268,-89.848,35.2422,-89.959
45,10,32,34126.69719,35.2074,-89.6578,35.204,-89.7693
46,32,36,40120.86825,35.2074,-89.6578,35.2755,-89.7382
47,10,30,17253.17993,35.204,-89.7693,35.1603,-89.7468
48,11,34,7586.385454,35.2319,-89.9785,35.2422,-89.959
49,34,33,16175.90468,35.2342,-90.0165,35.2319,-89.9785
50,33,37,9661.968896,35.2342,-90.0165,35.2607,-90.0182
51,11,39,14453.37737,35.2422,-89.959,35.2694,-89.9333
52,39,37,33141.65967,35.2607,-90.0182,35.2694,-89.9333
53,37,13,36574.06857,35.2607,-90.0182,35.3324,-90.0458
54,13,45,32578.70723,35.3324,-90.0458,35.3688,-89.9501
55,39,40,46050.65327,35.2694,-89.9333,35.2964,-89.8039
56,12,41,19410.3882,35.3271,-89.6946,35.3348,-89.7583
57,12,49,20839.84998,35.3271,-89.6946,35.3803,-89.6715
58,49,14,21806.65617,35.3803,-89.6715,35.3767,-89.7375
59,38,41,7141.735691,35.3348,-89.7583,35.316,-89.7651
60,12,38,21855.62566,35.316,-89.7651,35.3271,-89.6946
61,41,14,16592.29014,35.3348,-89.7583,35.3767,-89.7375
62,46,44,6364.609166,35.364,-89.9137,35.3466,-89.913
63,45,4,4927.657679,35.3566,-89.9572,35.3688,-89.9501
64,44,43,13732.24981,35.3466,-89.913,35.3566,-89.9572
65,15,46,29826.23143,35.364,-89.9137,35.3766,-89.8246
66,46,45,10983.10068,35.3688,-89.9501,35.364,-89.9137
67,45,47,6348.2299,35.3688,-89.9501,35.386,-89.9527
68,48,47,12816.7394,35.386,-89.9527,35.3869,-89.9106
69,46,48,8359.614021,35.3869,-89.9106,35.364,-89.9137
70,15,42,11642.53856,35.3766,-89.8246,35.3451,-89.8226
71,14,15,26094.63565,35.3766,-89.8246,35.3767,-89.7375
103,110,109,17894.85788,35.03843775,-89.88494197,35.02319797,-89.93468935
104,105,111,50067.77098,35.04567676,-89.7486058,35.18321477,-89.7463049
106,102,112,14180.15973,35.04807723,-89.91849282,35.07704103,-89.88680701
107,112,109,9940.05883,35.04713038,-89.91869906,35.02319797,-89.93468935
108,112,110,11559.74818,35.04773803,-89.91836588,35.03843775,-89.88494197
109,102,113,22720.39752,35.04948826,-89.81868695,35.07704103,-89.88680701
110,113,111,21143.41496,35.0497745,-89.81906331,35.04567676,-89.7486058
111,103,115,15962.07603,35.06397238,-90.00025711,35.10775318,-89.99720788
112,101,117,10481.56866,35.09575911,-90.13862397,35.069481,-90.15294929
113,117,118,24157.76978,35.11237535,-90.06204382,35.09575911,-90.13862397
114,102,120,41168.41933,35.1383115,-89.78517638,35.07704103,-89.88680701
115,105,120,20053.7744,35.1383115,-89.78517638,35.18321477,-89.7463049
116,121,119,15349.12697,35.17428692,-89.95604419,35.13310578,-89.96709088
117,105,123,21888.94634,35.18303712,-89.81955189,35.18321477,-89.7463049
120,106,124,10705.62747,35.21455633,-89.90742482,35.18516082,-89.90861096
121,105,125,35688.84542,35.26808735,-89.71098357,35.18321477,-89.7463049
122,115,127,13144.40577,35.03079538,-90.01180298,35.06397238,-90.00025711
123,115,128,30259.5268,35.04604506,-90.09223982,35.06397238,-90.00025711
127,103,133,8093.271554,35.12243339,-90.00781513,35.10775318,-89.99720788
128,118,134,7331.379365,35.12873298,-90.04798352,35.11269262,-90.0628094
129,104,135,14547.08916,35.13539244,-90.03197536,35.17535116,-90.03109531
130,133,135,8552.682421,35.13524966,-90.0317866,35.12243339,-90.00781513
131,104,136,8569.018621,35.15465072,-90.04474853,35.17535116,-90.03109531
132,134,136,11003.20778,35.15524641,-90.04477853,35.12918073,-90.04824477
133,106,137,10041.34312,35.16314988,-89.88835789,35.18516082,-89.90861096
135,131,137,20671.39017,35.16314988,-89.88835789,35.1065119,-89.8832947
138,102,131,10778.57979,35.1065119,-89.8832947,35.07704103,-89.88680701
139,104,138,11879.99929,35.20511066,-90.04742069,35.17535116,-90.03109531
140,107,138,17274.95992,35.21552681,-89.96476578,35.26290055,-89.96128689
141,107,141,3599.319649,35.25777685,-89.97159829,35.26290055,-89.96128689
142,107,142,5632.40208,35.26112371,-89.98002841,35.26290055,-89.96128689
143,142,138,43538.21894,35.26130896,-89.98041438,35.20511066,-90.04742069
144,107,143,5046.681181,35.26859319,-89.97670141,35.26290055,-89.96128689
145,107,144,3449.82591,35.27236517,-89.96067895,35.26290055,-89.96128689
146,108,145,40647.89386,35.32713342,-89.89514711,35.37412008,-89.79981386
147,145,144,33448.90487,35.32713342,-89.89514711,35.27294718,-89.96061885
148,109,146,36871.81035,35.00079106,-90.04758839,35.02319797,-89.93468935
149,126,146,2283.497809,35.00079106,-90.04758839,35.00702564,-90.04674159
150,101,147,11389.80573,35.04440068,-90.13975465,35.069481,-90.15294929
151,128,147,14133.98826,35.04443193,-90.1394148,35.04604506,-90.09223982
152,147,146,37615.97563,35.04440068,-90.13975465,35.00079106,-90.04758839
153,103,148,16635.21502,35.07640657,-89.95674502,35.10775318,-89.99720788
155,114,148,5017.481303,35.07640657,-89.95674502,35.0651077,-89.96634929
156,115,148,13785.4219,35.07640657,-89.95674502,35.06397238,-90.00025711
157,103,149,18642.99608,35.07572304,-89.94858221,35.10775318,-89.99720788
158,132,149,16498.78929,35.07572304,-89.94858221,35.11532064,-89.93484222
159,149,148,2455.231856,35.07572304,-89.94858221,35.07640657,-89.95674502
160,102,150,14856.18169,35.07707957,-89.93645491,35.07704103,-89.88680701
161,130,150,3472.222058,35.07707957,-89.93645491,35.08661106,-89.93692157
162,150,149,3662.330671,35.07707957,-89.93645491,35.07572304,-89.94858221
163,101,151,22313.24955,35.07086632,-90.07840599,35.069481,-90.15294929
164,129,151,4695.445801,35.07037975,-90.07833604,35.08323664,-90.07961422
165,118,152,14352.03793,35.07488123,-90.05473961,35.11269262,-90.0628094
166,152,151,7497.927612,35.07478964,-90.05406242,35.07086632,-90.07840599
167,103,153,17473.87994,35.07825394,-90.04028005,35.10775318,-89.99720788
168,116,153,2901.176333,35.07836682,-90.0404602,35.08311446,-90.04824829
169,153,152,4457.243419,35.07836682,-90.0404602,35.07488123,-90.05473961
170,104,154,14170.85742,35.19370519,-89.98927489,35.17535116,-90.03109531
171,139,154,10861.74584,35.19336224,-89.98910826,35.21552681,-89.96476578
172,122,155,7217.17976,35.19268175,-89.97947957,35.17395682,-89.9874219
173,155,154,3130.394821,35.1932769,-89.97881125,35.19370519,-89.98927489
174,106,156,14621.89083,35.19317874,-89.95595313,35.18516082,-89.90861096
175,121,156,6980.610376,35.19346468,-89.95596722,35.17428692,-89.95604419
176,156,155,7197.723865,35.1940597,-89.95529872,35.19308206,-89.97935824
177,107,157,9717.570985,35.24445443,-89.98481527,35.26290055,-89.96128689
178,138,157,27411.83164,35.24445443,-89.98481527,35.20511066,-90.04742069
179,140,157,3851.19422,35.24403685,-89.98385212,35.23792861,-89.99438246
180,124,158,26455.19453,35.26805883,-89.84746268,35.21455633,-89.90742482
181,139,158,39907.90411,35.26805883,-89.84746268,35.21552681,-89.96476578
183,108,159,33498.51037,35.28703916,-89.83614786,35.37412008,-89.79981386
184,125,159,37991.19311,35.28703916,-89.83614786,35.26808735,-89.71098357
185,159,158,7690.011896,35.28703916,-89.83614786,35.26805883,-89.84746268
186,108,160,41503.82086,35.36447359,-89.66110552,35.37412008,-89.79981386
187,160,159,64706.33761,35.36447359,-89.66110552,35.28703916,-89.83614786
188,106,123,26624.97761,35.18303712,-89.81955189,35.18516082,-89.90861096
189,131,132,16633.80852,35.11532064,-89.93484222,35.1065119,-89.8832947
