OBJECTID,PowerNodeLabel,NodeTypeNew,Lat_powerNode,Lon_powerNode
1,46,4,-90.04758839,35.00079106
2,47,4,-90.13975465,35.04440068
3,48,4,-89.95674502,35.07640657
4,49,4,-89.94858221,35.07572304
5,50,4,-89.93645491,35.07707957
6,51,4,-90.07840599,35.07086632
7,52,4,-90.05473961,35.07488123
8,53,4,-90.0404602,35.07836682
9,54,4,-89.98927489,35.19370519
10,55,4,-89.97935824,35.19308206
11,56,4,-89.95613605,35.19385533
12,57,4,-89.98481527,35.24445443
13,58,4,-89.84746268,35.26805883
14,59,4,-89.83614786,35.28703916
15,25,2,-89.71098357,35.26808735
16,24,2,-89.90742482,35.21455633
17,9,2,-89.93468935,35.02319797
18,10,2,-89.88494197,35.03843775
19,11,2,-89.7486058,35.04567676
20,12,2,-89.91849282,35.04807723
21,13,2,-89.8193234,35.04987086
22,14,2,-89.96634929,35.0651077
23,15,2,-90.00025711,35.06397238
24,16,2,-90.04824829,35.08311446
25,18,2,-90.0628094,35.11269262
26,17,2,-90.13862397,35.09575911
27,22,2,-89.9874219,35.17395682
28,21,2,-89.95604419,35.17428692
29,19,2,-89.96709088,35.13310578
30,23,2,-89.81955189,35.18303712
31,20,2,-89.78517638,35.1383115
32,28,3,-90.09223982,35.04604506
33,26,3,-90.04674159,35.00702564
34,27,3,-90.01317781,35.03203141
35,29,3,-90.07961422,35.08323664
36,30,3,-89.93692157,35.08661106
37,32,3,-89.93484222,35.11532064
38,31,3,-89.8832947,35.1065119
39,37,3,-89.88835789,35.16314988
40,33,3,-90.00781513,35.12243339
41,35,3,-90.03173343,35.13594677
42,34,3,-90.04824477,35.12918073
43,36,3,-90.04489956,35.15507239
44,38,3,-90.04742069,35.20511066
45,40,3,-89.99438246,35.23792861
46,39,3,-89.96476578,35.21552681
47,42,3,-89.98041438,35.26130896
48,41,3,-89.97150997,35.25778698
49,43,3,-89.97670141,35.26859319
50,44,3,-89.96061885,35.27294718
51,45,3,-89.89514711,35.32713342
52,8,1,-89.79981386,35.37412008
53,5,1,-89.7463049,35.18321477
54,2,1,-89.88680701,35.07704103
55,7,1,-89.96128689,35.26290055
56,4,1,-90.03109531,35.17535116
57,1,1,-90.15294929,35.069481
58,3,1,-89.99720788,35.10775318
59,6,1,-89.90861096,35.18516082
60,60,1,-89.66110552,35.36447359
